"Area_km2","E_km","N_km"
101.576397828,382.782294892987,5233.27140082851
52,363.300184746771,5212.64351216745
74.21141567416,366.466755241737,4657.54756954784
132,382.351560584817,5046.24572406524
173.86978048,685.907313452441,3844.18368772529
108.34121716,618.989575197631,3997.36271820738
161.586875104,358.918441717397,4954.83997025773
88,362.667208030339,5202.56488005257
114.975101708,676.385629921746,3919.57499137996
120,735.644471516778,3797.54559278877
308.264102368,642.790767749721,3880.54139316184
124,468.197461974035,4219.15051595236
152.681183436,312.24740581866,5314.40129705609
97.653135236,417.324776810861,4327.59609076881
123.856603708,374.193411837745,5112.7290299522
120,360.920003866724,4861.44529562913
100,336.285902937403,5328.11530207008
84,389.02057852181,5074.46084169993
132.55031998,414.159257788969,5082.38275860479
160,356.543194380704,5289.94175064001
83.573729148,576.922984367368,4083.90948469074
76,379.389261147221,5217.69793414521
98.004378236,429.350712544272,4320.09081072359
152,372.351234542639,4954.12384823236
71.196848912,548.916526564918,4104.17404665268
112,377.611461442591,5057.69234665111
73.091669636,359.845167417775,5184.48356481521
132,690.712393595887,3865.25699954247
112.808094676,559.03014185467,4089.41362786287
85.605516852,374.488159765752,5166.90253687311
101.402974812,410.953954918109,4982.42957707718
64,364.771855637831,5194.91603828948
72,384.425565831177,5204.03988835897
156.956130296,346.347747085819,5289.6308819324
97.9602284,368.157585601192,5245.56325067658
68.04555042,347.728786769513,4770.39217782445
145.35238852,368.116474389526,5290.25959762052
134.335474532,774.528928421382,3810.01730107969
88,387.880789699647,5177.79633612694
163.213431632,325.732480318235,5326.85961581589
92.05227006,415.516723688021,4346.84055587426
141.595636544,385.793178601289,4522.59030134816
121.408449852,368.220220055993,4819.6831768
132,511.76442548751,4146.28510172756
104,369.571184755016,4793.26311523547
103.249484772,511.031927580796,4114.47119097162
144,373.656890332214,4845.9656505398
123.52671172,369.376783087676,4647.06805401996
120,362.299725059835,4921.41040871153
168.703147732,802.237626863897,3801.84869430529
71.576028372,387.788007846714,5211.47937692652
90.122057524,413.056625160202,5011.35731981104
140.064453292,408.747454590846,5089.63817964855
84.516933432,296.499620719916,5333.00467876095
210.998062232,757.431753691331,3777.61626517784
183.536782768,406.231879651318,4967.8263207339
0,601.75257151333,3957.88277766483
48.021740256,503.650584744839,4198.23430975871
127.078567184,378.214077088792,4451.90282849391
88,400.946577562178,5083.2869261464
100.575216728,415.663731093725,4410.91366747615
229.639157776,816.101720428691,3794.76840628898
118.036523604,402.683531664482,4423.58390439326
90.021428512,428.448715255917,4336.63621977449
94.228586472,418.49597879601,4317.89190387112
169.151446052,451.014555988281,4281.8355013274
156.930746112,397.871400678949,4908.42739675377
84,379.045102647129,5017.48881216615
114.45735618,365.25845898972,4479.81677871574
220.094735656,598.074126762372,4068.67403850219
148.499648612,367.927746413727,4729.57402107039
115.43593784,409.969383122729,4990.79764746754
108,480.123437837963,4234.15290183498
93.152898732,685.148158230952,3915.5446715988
152.81365236848,454.79377899298,4246.88480322635
187.456002768,402.158044394455,4950.65722787842
80.03271143316,416.800798466367,4307.84725988019
97.626720756,519.153437563989,4111.70415221938
84,383.142564198933,5026.99528096463
62.963800812,507.213871455954,4194.17426921201
94.613243656,368.302288900518,5025.46802127565
168,470.357728232025,4206.49247279845
64,379.142036040931,5030.79371693516
109.208559172,693.731870384276,3830.34941046097
92,406.582608119448,5012.29021981141
81.497258008,422.356593846401,4299.69860537514
118.508716896,362.912182770421,5099.4331360722
100,385.042189317429,5169.35837360921
110.725236196,362.082018813044,4800.76304156552
186.33099846,534.7217924764,4137.67480185982
108,395.242988128397,5093.4910658974
115.909275912,472.018552042403,4259.76896800569
182.721867716,502.185809407956,4158.12949613379
80.878059148,369.371262208214,4670.66444361151
109.216516632,568.57718865502,4087.4003918887
122.49708642,727.406040648718,3810.61056209907
177.23451154,377.737049120479,4528.7086177707
119.467309256,391.169364167635,5125.91663507544
156,330.51906959968,5338.96351794787
109.966602288,378.609917250921,4609.49977036702
154.11758546,414.103124932315,5056.42280570613
116.79183376,503.132767242716,4177.57675585978
104.905536128,392.434977092049,4436.51898926531
120,384.265868963176,4992.63090806529
75.861970196,414.501455194947,4389.99885565413
76,694.224583974097,3844.00381994827
132,361.903661152525,4946.13135063178
70.299478516,360.770085280215,5353.54413224525
67.60312616,400.582926377055,4436.52129237452
120.6644765,653.998614649539,3936.9641172636
127.33639388,382.466204425114,4568.19973553754
128,480.434646964768,4194.72427985443
74.054957792,341.655318983736,4896.36055113717
124,364.654195647972,4891.58289058653
145.192358192,348.020454258597,5270.46088753187
121.72426844,398.947554178268,5122.31491062402
145.434057044,319.694367337236,5347.9269529627
151.930179064,361.376894978525,5303.96800638678
102.759318568,432.796833049931,4304.81377932041
149.392025988,396.193525850702,4581.78232615351
184.6527569,580.310214155476,4076.83297324465
132,385.939708686547,4980.10895078692
88,348.639659470719,5352.32919931852
116,533.845098696577,4124.2885586996
83.59666798,382.523002436773,4627.94115402575
140,373.53518889907,4980.86219560315
50.405173788,708.187010940148,3846.76733831235
65.5255742,429.398449367378,4310.24543299205
87.790425358,395.204338428545,4826.84917846366
86.122358692,385.077469958068,5223.27080517503
177.700320396,457.461334307572,4217.99103583678
136,354.839294048803,4902.21915453458
67.023718176,432.24349961936,4326.83787907731
102.94637354,704.40065970916,3855.34034167624
119.216929292,590.86471059336,4056.27348178395
104.491799188,362.300519023769,4689.90054695301
173.749854132,408.962547197433,5044.85009673395
156,469.59972489137,4231.72014434239
130.5021515284,370.536429914428,4697.54391974517
124,387.243300685495,4856.43776401699
73.821200104,375.100990293991,4602.61118050089
68,415.024878986336,4399.4119349865
108,387.983555755054,4882.50653544602
130.280891512,369.201519031248,4757.89460113533
127.765522124,680.082781034924,3907.28842469923
208.47975326,856.256914386122,3776.42956658401
134.8516659,386.553289581717,4920.98182793315
83.518328828,390.39727604991,5195.74018977126
108,385.204493732824,5007.69453728081
100.909838852,356.13489167785,4919.03141886051
174.230983952,409.795613781543,5102.56210650822
73.456002136,383.997625178645,4808.03398983284
18.204999864,325.186993810272,5363.7311763726
120.877517912,370.588939645645,5279.70773565558
80,369.48097954761,4768.14121161182
137.550412324,700.964349484535,3881.62528578901
170.17590092,773.624001452145,3780.22450448712
64,702.555777534048,3845.88534253456
103.744151156,355.747529680421,4713.06083869516
161.904303416,365.494132628826,4992.28421479192
50.589425232,661.687844377137,3938.36472636837
144,404.036020711397,5027.17496103151
72,393.102443487023,5015.56511256123
152.899120644,720.902818013816,3802.93068897821
112.04211146,360.132544643768,4491.87984448804
148.719595344,366.56535602094,4829.72599551992
104,303.471839366544,5333.15845610973
178.106404544,681.020409952748,3869.71730566662
165.74305296,349.221093198134,4749.59159885837
131.629600684,365.082066059273,4811.66629043027
84.84551354,669.626245687423,3929.1249374589
126.835061468,716.728548708183,3812.17787813977
115.813535744,715.054461800352,3819.33319438471
122.595165324,497.45436634194,4167.70548664273
64,376.089565009886,5200.98779788746
68,377.482619094504,4888.98812540204
64,531.570946664653,4104.12907509596
84,373.560423177751,4882.00463327313
92,388.113034874195,5102.5638478547
104,395.865175657242,5102.13160183515
183.938124868,787.373790548779,3805.33465814969
72,362.073892231083,4790.45752879338
144,373.878808150627,4861.29333738262
96,522.629003845829,4121.82209674185
60,498.62485008762,4194.82446225249
103.457712156,701.982037734786,3821.9968975258
100,376.535271889895,5069.36203935757
131.702786396,335.899511860222,5316.32313846914
112,358.141865620442,4886.98682768408
101.018890184,362.071496727571,4973.13501645859
123.910720416,348.201659426673,5366.24525741612
95.614094316,405.142708714779,5114.84133739473
431.520390596,655.022835910939,3857.40882226891
128,453.929366096031,4270.1837464813
120,341.072916971126,5344.54101358882
92,400.52831475786,4993.17837489327
130.1859928,495.012291775632,4223.41538486029
139.926175704,758.416029775698,3803.01315331014
80,377.250175172571,4870.33709661803
92.07959946,361.088672830127,4682.93066238278
116,357.765109658674,4760.40750919838
84,375.673007730271,5229.1410280884
68,701.145788761475,3828.68803171412
153.683565156,331.553587032067,5306.65443653714
84,372.584579681292,4894.97214749636
183.177356588,394.13697270378,4567.76087045436
123.3466519,413.382474930947,5020.70276196085
96,347.630244154511,5316.19885471108
60,360.520492162662,5218.49718996475
80,358.091177659685,4880.65810246231
109.420203552,391.565929684081,4601.57961115289
103.572215268,376.179953219,4768.9833077962
124,404.302899893231,5076.55661079332
64,394.565383587214,5085.95582457929
97.98268514,383.902141474595,4641.54831402551
112,384.692884000385,4823.17618210626
0,273.350887801206,5366.99443736624
94.539511596,381.453989997748,5140.00604362169
119.12245366,485.009063645122,4243.37112980204
85.967850416,356.999571214195,5336.69571571185
132,521.427034956695,4141.80071010594
141.051576724,658.694638669014,3920.45430962211
61.050175952,709.73226688257,3827.79631507616
142.03350334,672.245705719637,3901.10472093145
246.56021446,805.111633832316,3778.06193902814
139.8275145,390.597375205541,4587.57290903557
96,386.31413719934,5035.58666548191
116,387.998636430385,4912.40221066977
112.82601572,337.3587328657,5361.14977314779
69.125552792,706.520971725536,3835.99335232407
268.720614332,720.267047048036,3782.34101667724
118.992107116,400.674990008616,5135.87765896953
140,469.404180707341,4246.62853642609
82.933502828,379.974929595098,4664.38093881788
104,397.917745489461,5112.75736629837
102.760677836,374.662424352064,4622.54954952509
128,692.228093558635,3854.83604525886
117.73057208,370.727633936391,4490.58088587884
108.962472292,376.362817939126,4676.88881272701
84,382.949653271151,5064.72050296624
78.380254988,372.79018372466,5031.58958299035
120.966752408,752.375445109799,3810.37703352702
109.77358832,370.360357208877,5075.78493424081
174.563170112,360.828282985549,5365.424124541
148,803.455859604366,3791.0936478572
134.538726624,436.999493590673,4281.36002195718
92,369.804220222458,5235.05175664821
156.352702264,375.027478761616,5008.34372920883
272.645962256,823.761166433235,3782.90351324531
108,360.899887551102,4869.32389637627
92,375.415283398536,5087.136899321
76.715171036,346.834940532807,4903.26804985611
64,423.096141734929,4306.74341232597
143.650303428,407.780535109505,5001.56065866936
84,350.801948315878,5357.53364579977
120,389.103402808461,5056.77366249387
88.835336788,392.370006227268,4547.89265078759
67.518782724,307.667473919943,5350.89256730957
93.570438676,375.40861397237,4500.61503971577
89.319852252,366.047472047884,5062.02356248931
113.431493164,380.701650480157,4650.87281798254
212,372.146491386707,4936.34190317347
132,480.159198590301,4223.57915390907
121.604956552,419.442966042358,4354.86692916323
64,424.872849265445,4327.7437873531
112.277330724,548.366388712833,4095.72776233947
138.527814496,395.634934196761,4845.01280088666
108,478.004228123071,4213.5898796973
128,394.498400984018,4971.80786497279
77.30221522,361.16739257488,5178.20738632875
72,381.90167308216,5194.05421085377
68,374.413639099878,4658.22604102021
118.261845998,398.776131510258,4883.66717212458
101.761564096,361.702089696264,5236.15335947255
108,376.979234472949,4825.90780909233
133.410782004,367.809313097232,4709.933253253
154.737238356,342.47168047852,5304.91448458911
151.863226068,358.878368355512,5262.39871824178
70.940753788,357.752656079175,5345.53187212286
89.796207012,372.345661924151,4633.79101825968
132,403.116956388886,5064.45072861701
135.41805386,379.744029977452,5159.00233256822
88,382.228293202661,4863.66897738236
115.255989612,344.835487962072,4885.7839257676
64,370.765539826745,5207.44704166491
68,699.824288997476,3839.13443128422
112,312.829146420092,5342.8933504886
76.997331736,588.454493350391,4043.03586242403
131.567932772,354.779676990566,4698.35376463868
129.359487536,374.993155686033,5269.38898571409
119.819402572,443.325878226736,4290.56066867247
128,396.694937428849,5036.29670979123
143.269459484,414.207217737697,5033.93966376132
123.640374924,380.030365255966,4538.91302488119
97.047720972,345.794223299138,4757.84046166111
85.734322592,356.400336262248,5190.16678878482
114.0455726,356.708797299623,5315.41968106883
116,316.51328978645,5334.19824274902
93.509647448,527.682824240783,4110.57827394224
182.434359056,350.117117497833,4862.80940555089
192.691672648,362.603015501368,4848.63432490381
8.19428198,291.60862716379,5348.84043809325
115.751590318611,374.608591108003,4467.92773797146
116,392.370561180193,5046.90542845904
146.559199816,465.184935084806,4196.3914181033
152.513440328,380.055206571937,4582.08679723364
136,372.511725319704,4971.92753698715
118.582398708,692.35772411349,3890.04043890707
92,377.731532967845,5183.57952057081
100,379.077081288173,4914.06066178655
92,501.763049176065,4186.6712536154
116,483.533234953141,4204.43669696958
113.844830504,361.611712976138,4718.08420652748
104,666.132312972828,3920.24656011493
73.705865256,548.581339243755,4111.62234270683
88.828937344,396.473527696762,5169.94720602141
120,454.620481456778,4258.92756944628
116,393.919473369526,5002.47604734658
118.309066076,426.266261557703,4377.61570758145
95.914814184,538.915135505707,4095.82236396543
140.32774388,397.467910247718,4895.65972045573
110.249084276,306.945792628193,5319.84575466831
76,369.173826147872,5188.45937842898
77.493853888,646.346229337833,3948.17339068936
80,367.980074783124,4806.90030549981
147.335221576,348.466465657912,5280.1938467663
109.51997746,378.754951307825,4794.18452275474
140,400.914640451036,4981.23032624143
82.362412208,647.169487484213,3940.96212395464
114.367958056,764.941444537484,3810.36336593357
130.860458516,353.555497750246,4968.64973434484
156,360.884310611274,5272.1322783551
108,344.848854803792,5333.52845921904
68,341.90976817364,5323.2204486158
140.177680832,379.063900771692,5128.95616653583
72.422881184,366.707119394865,5067.81812412774
137.88285284,385.650466374842,5114.49954141335
81.480874076,349.019005208596,4790.50067211924
118.214826484,344.977938106982,4875.62676310146
122.725414096,371.44875399999,5016.88717154828
45.848116448,381.19383861844,4659.14597301449
142.701552228,666.856434030711,3909.69502081832
118.457414796,490.315616717919,4232.02706833656
0,297.161728913908,5361.53541570542
207.638207432,517.070260791936,4159.86567480272
88,367.793265560633,5225.74023891815
64.422091116,645.556235513024,3956.6201804918
44,369.565778706635,5196.75532279716
119.500434668,636.2207344947,3961.65490330666
52,348.230330968945,5325.30929541334
124,491.124390619168,4187.82593759135
186.6160839,368.000485005376,4453.34146705841
104.9542418164,398.602906804548,4873.86545495907
148.188743432,431.837695473207,4290.54463497099
164.107113136,358.214042632685,4937.57968090009
108,390.484076253652,5159.27034472406
221.147934956,398.03109108391,4936.21467657698
104.02199248,354.383636683989,5325.40811787647
100.337424424,364.170129100941,5170.4576590163
82.681688704,365.024135855871,4676.7310932521
84,369.990941884634,5216.49956119927
104,536.511157278643,4113.40289234249
83.879913268,511.846488589788,4183.38406551173
108,393.283605861957,5068.15390935957
88,398.4147620657,5012.53598664492
104,377.147570042073,4900.84415534152
88.935299636,366.597362544308,5084.99738819273
120,381.900023118669,5098.99602908482
66.804406116,528.769180260469,4100.30440685945
116,388.581779526862,4871.50271141772
100.434436596,492.302098126903,4197.50721914243
140,365.808521868593,4780.87372063817
140,748.048476467267,3797.41819576433
168,395.38494602932,4957.251359881
106.750661356,415.741129505377,4337.35335438272
149.686768328,682.958664181038,3896.19216165329
68,357.821099330175,5212.92469847705
185.77552414,792.477850748936,3792.9005616248
136,376.856202043175,4836.49409524526
138.048018368,464.105413543087,4267.22484310365
64,358.147195336012,4781.38201417525
106.308757168,404.852564773355,4413.55445816557
68,379.473598734008,5175.70013107671
70.255615848,355.741703054917,4790.14992733572
132,690.984341800286,3878.90503992893
100,375.529343784264,4809.8858658107
171.88369292,399.151237624948,4922.42215850634
124.563994472,597.743385784224,4009.78783013065
114.829678916,503.696629178268,4142.76872818627
144,379.561769280854,4958.25704199619
143.04718792,374.513522591309,4717.82236323126
226.56793641488,836.522684614707,3780.30413105573
156.221568996,488.457579833568,4214.58824795682
128.176000144,370.979018477445,5040.20014540071
68,354.014816070532,4769.94019654184
100,389.839037306366,4899.65610257673
146.927504972,487.482315663462,4177.51724756574
72,381.217227501883,4880.19613942485
138.788413456,390.946617320583,4834.01826694118
140,385.968204695415,4969.59156169451
148.807605936,442.74441762528,4269.00027034909
169.178195604,457.760449051257,4234.95388945014
181.885487948,680.586279782221,3856.43938512553
94.807507360124,384.987978203286,4620.80580947044
89.37263072,351.567602068648,4779.59491113684
177.433254928,586.745084754177,4017.80874466504
96,370.831361233547,5094.18707156382
76.7878267,397.884767777236,5178.42454693521
92,370.434774141202,5177.21486358979
148,369.373769750098,4909.77656388294
143.261259684,397.499686373709,4861.95648728657
85.265647868,392.725802550355,4539.7455748523
108.873158896,384.711858599689,4445.49149454445
90.547937548,400.676997861659,5161.70931625188
140,333.266881521279,5351.73151974842
88,383.594987631395,4602.4491659295
96,310.434255190685,5328.36752470965
120,390.068488577221,5138.7229270571
100,391.811501480071,5027.17057497792
96.220843172,356.085508998459,5227.75485923067
76,351.343351153765,5342.86904341054
97.01449592,557.352818977026,4100.10636719323
227.087901608,385.249437159578,4946.10544323486
217.274162688,739.1983232026,3787.80487506204
147.312394468,702.727156071986,3866.6079396949
170.920566212,371.305699796715,5253.02047111885
134.318831932,376.469869158836,4994.50710689727
113.171100052,390.102706376762,4530.3905916246
80,370.696123715402,4919.58293830883
100.4170567,427.574439801586,4345.3884109962
98.093556244,388.315107498647,4814.49420600891
0,311.107495071931,5366.90185070249
64,382.530622552499,5081.36856729144
90.00577494,422.070962034104,4400.16260951075
91.8836328,378.160437089703,4801.61034022048
160.296226944,631.202242255982,3976.27667545984
110.620595464,512.680223766477,4134.74047317705
116,351.475859645593,5307.27291352122
112.630215956,423.763296852065,4388.17512145529
96,386.815239944089,5086.1050797109
88.695661296,415.493784149265,4371.92649534736
143.532354912,529.020656952647,4151.0522930834
137.26512728,729.844137493465,3790.44996398569
51.618097252,349.412812085216,5233.43228550038
109.845758036,371.304079070276,5103.9648502493
127.847913328,353.029352833305,5203.79269995722
116,523.291635889668,4131.21186275736
72,386.883121430368,5016.23802270984
112.652242248,388.910409401794,5186.06168413842
68,377.477165052361,5210.78297929433
138.9528885664,473.886223779067,4188.30923156823
44,385.805813499155,5079.11306728261
142.851608524,352.726804339444,4927.52776985898
138.76505502,415.599144700116,5067.74903157405
74.521642488,369.605754670789,4663.42172553446
92.771997252,448.021063816899,4253.21377141384
43.9726947384,390.752952211581,5201.82826839552
88,382.290007146895,4894.60876337778
80.3417839,352.292116286208,5217.92544120185
189.668253864,785.747170247326,3779.96751170339
127.141851788,378.52404857268,4592.38235965807
111.544753336,479.048059995391,4251.2065800335
68,362.832556119936,4769.74549756299
79.809386544,409.540716955982,4400.89094358665
114.507704056,738.700854104156,3808.08140091618
120,362.920163399417,4964.57549164485
167.7142143276,360.464903654337,4749.38599211139
192.75464006,375.288761188087,4511.69963369688
200.875095924,680.592271190497,3883.65338500363
88,513.555403169058,4123.34063483583
76,376.364031626417,4640.10127931996
127.97040662,380.00032541344,5246.04572177937
144.108256756,387.782636616094,4558.35280554888
128,402.147691705458,5053.22665601839
56,375.390524380838,5194.35412743775
132,376.062119675958,4924.10953197065
111.451904728,373.655339947416,4686.74644133797
112,463.441500569528,4253.81208989848
131.026657328,369.703052445153,5049.48124484662
153.706366764,418.825315059808,4362.94892427166
128,386.852657083775,4846.46088987871
133.79475784,398.577205361767,5148.50536602155
113.42687358,505.570646059926,4124.97715829961
114.338590352,591.672737342515,4029.17594201421
44,357.912315741203,4773.54152562531
88,368.406266113371,4871.92608870118
83.839025016,366.093191711626,5360.83406273949
95.1622828512,384.717205921382,4547.38714527149
98.451926648,386.684074149412,5149.85858915877
104,392.875419360331,4991.67754444094
177.740971908,752.67369175759,3787.63180924142
106.524320452,541.9235542417,4123.79677100077
76,540.936160005587,4103.43157060981
81.36782588,417.843906279085,4381.60485800925
92,661.675161616067,3932.50557421834
94.509462568,389.739203964061,4612.23860582966
76,365.117394770313,4880.32618618104
222.598652892,356.829324756516,4734.7248291855
72.263065824,639.499068578472,3954.48876029131
104.582468988,355.819961434584,4910.74141966337
